,Primary_ISBN_10,Book_Title,Description,Author,Contributor,Publisher,Asterisk,Dagger,Amazon_URL,Review_Link,BestSeller_Date,Published_Date,Book_Category,BestSeller_Year,BestSeller_Week,Rank,Rank_Last_Week,Weeks_on_List
6100,735215537,THE RISING SEA,A scientific team searches the globe for the threat causing sea levels to rise at an alarming rate.,Clive Cussler and Graham Brown,by Clive Cussler and Graham Brown,Putnam,0,0,https://www.amazon.com/Rising-Sea-NUMA-Files-ebook/dp/B072SS5PLZ?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Fiction,2018,15,11,4,3
6101,1616208775,AN AMERICAN MARRIAGE,A newlywed couple's relationship is tested when the husband is sentenced to 12 years in prison.,Tayari Jones,by Tayari Jones,Algonquin,0,0,https://www.amazon.com/American-Marriage-Novel-Oprahs-Selection-ebook/dp/B01NCUXEFR?tag=NYTBSREV-20,https://www.nytimes.com/2018/02/06/books/review/american-marriage-tayari-jones.html,3/31/18,4/15/18,Hardcover Fiction,2018,15,12,10,8
6102,670026190,A GENTLEMAN IN MOSCOW,A Russian count undergoes 30 years of house arrest.,Amor Towles,by Amor Towles,Viking,0,0,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBSREV-20,https://www.nytimes.com/2016/09/25/books/review/amor-towles-gentleman-in-moscow.html,3/31/18,4/15/18,Hardcover Fiction,2018,15,13,15,56
6103,812996062,ALTERNATE SIDE,An incident in her Manhattan neighborhood forces Nora Nolan to reckon with aspects of her life.,Anna Quindlen,by Anna Quindlen,Random House,0,0,https://www.amazon.com/Alternate-Side-Novel-Anna-Quindlen/dp/0812996062?tag=NYTBSREV-20,https://www.nytimes.com/2018/04/03/books/review/alternate-side-anna-quindlen.html,3/31/18,4/15/18,Hardcover Fiction,2018,15,14,13,2
6104,1250140226,THE BISHOP'S PAWN,Cotton Malone discovers revelations about the day the Rev. Dr. Martin Luther King Jr. was assassinated.,Steve Berry,by Steve Berry,Minotaur,0,0,https://www.amazon.com/Bishops-Pawn-Novel-Cotton-Malone-ebook/dp/B074ZRSMQK?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Fiction,2018,15,15,5,2
6195,1538728753,RUSSIAN ROULETTE,"Details of the 2016 presidential election, with an emphasis on Russia's possible involvement.",Michael Isikoff and David Corn,by Michael Isikoff and David Corn,Twelve,0,0,https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/14/books/review/russian-roulette-michael-isikoff-david-corn.html,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,1,1,3
6196,62837877,THIS IS ME,A star of “This Is Us” describes her journey toward self-acceptance.,Chrissy Metz,by Chrissy Metz,Dey St.,0,0,https://www.amazon.com/This-Me-Loving-Person-Today/dp/0062837877?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,2,0,1
6197,62569368,SECRET EMPIRES,The author of “Clinton Cash” describes what some politicians might do to enrich themselves while in office.,Peter Schweizer,by Peter Schweizer,Harper,0,1,https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,3,2,2
6198,1538713454,DEAR MADAM PRESIDENT,The director of communications for Hillary Clinton’s 2016 presidential campaign and the Obama White House prescribes a new model of leadership.,Jennifer Palmieri,by Jennifer Palmieri,Grand Central,0,0,https://www.amazon.com/Dear-Madam-President-Letter-Women/dp/1538713454?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/19/books/review/jennifer-palmieri-dear-madam-president.html,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,4,0,1
6199,1501126423,TIGER WOODS,A deeper look at the personal and professional triumphs and disasters of the champion golfer.,Jeff Benedict and Armen Keteyian,by Jeff Benedict and Armen Keteyian,Simon & Schuster,0,0,https://www.amazon.com/Tiger-Woods-Jeff-Benedict/dp/1501126423?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,5,0,1
6200,399590501,EDUCATED,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",Tara Westover,by Tara Westover,Random House,0,0,https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/01/books/review/tara-westover-educated.html,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,6,4,6
6201,1501184415,FAITH,"The former president discusses the broader meaning of faith and its effect on our lives, including its religious aspects.",Jimmy Carter,by Jimmy Carter,Simon & Schuster,0,0,https://www.amazon.com/Faith-Journey-All-Jimmy-Carter/dp/1501184415?tag=NYTBSREV-20,https://www.nytimes.com/2018/04/26/books/review/jimmy-carter-faith.html,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,7,0,1
6202,393609391,ASTROPHYSICS FOR PEOPLE IN A HURRY,"A straightforward, easy-to-understand introduction to the universe.",Neil deGrasse Tyson,by Neil deGrasse Tyson,Norton,0,0,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,8,5,48
6203,1250158060,FIRE AND FURY,A journalist offers an inside account of the first year of the Trump White House.,Michael Wolff,by Michael Wolff,Holt,0,0,https://www.amazon.com/Fire-Fury-Inside-Trump-White-ebook/dp/B077F4WZZY?tag=NYTBSREV-20,https://www.nytimes.com/2018/01/08/books/review/michael-wolff-fire-and-fury-trump-white-house.html,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,9,3,13
6204,399592067,EVERYTHING HAPPENS FOR A REASON,A divinity school professor examines her tacit beliefs when she learns she has colon cancer.,Kate Bowler,by Kate Bowler,Random House,0,0,https://www.amazon.com/Everything-Happens-Reason-Other-Loved/dp/0399592067?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,10,0,5
6205,62319787,I'LL BE GONE IN THE DARK,"The late true-crime journalist's search for the serial murderer and rapist known as ""the Golden State Killer.""",Michelle McNamara,by Michelle McNamara,Harper,0,0,https://www.amazon.com/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,11,6,5
6206,316512583,OBAMA,"More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",Pete Souza,by Pete Souza,"Little, Brown",0,0,https://www.amazon.com/Obama-Intimate-Portrait-Pete-Souza/dp/0316512583?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,12,7,16
6207,525427570,ENLIGHTENMENT NOW,"A case for using reason, science and humanism to counter pessimistic views of Western civilization.",Steven Pinker,by Steven Pinker,Viking,0,0,https://www.amazon.com/Enlightenment-Now-Science-Humanism-Progress/dp/0525427570?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/02/books/review/steven-pinker-enlightenment-now.html,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,13,8,7
6208,1501181823,THE LAST BLACK UNICORN,The comedian recounts growing up in South Central Los Angeles and finding success after a period of homelessness.,Tiffany Haddish,by Tiffany Haddish,Gallery,0,0,https://www.amazon.com/Last-Black-Unicorn-Tiffany-Haddish/dp/1501181823?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,14,9,16
6209,1501181890,PRETTY MESS,"A memoir by a star of ""The Real Housewives of Beverly Hills.""",Erika Jayne,by Erika Jayne,Gallery,0,0,https://www.amazon.com/Pretty-Mess-Erika-Jayne-ebook/dp/B074ZKMXY6?tag=NYTBSREV-20,,3/31/18,4/15/18,Hardcover Nonfiction,2018,15,15,0,1
6300,307887448,READY PLAYER ONE,"It’s 2044, life on a resource-depleted Earth is grim, and the key to a vast fortune is hidden in a virtual-reality world.",Ernest Cline,by Ernest Cline,Broadway,0,0,http://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/030788743X?tag=NYTBSREV-20,https://www.nytimes.com/2011/08/15/books/ready-player-one-by-ernest-cline-review.html,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,1,3,20
6301,1501171690,I'VE GOT MY EYES ON YOU,A high school guidance counselor tries to uncover the identity of her sister’s murderer.,Mary Higgins Clark,by Mary Higgins Clark,Simon & Schuster,0,0,https://www.amazon.com/Ive-Got-My-Eyes-You-ebook/dp/B074ZWSKZP?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,2,0,1
6302,1524797154,CAMINO ISLAND,A search for stolen rare manuscripts leads to a Florida island.,John Grisham,by John Grisham,Doubleday,0,0,https://www.amazon.com/Camino-Island-Novel-John-Grisham-ebook/dp/B01N2ABE60?tag=NYTBSREV-20,https://www.nytimes.com/2017/06/12/books/review/camino-island-john-grisham.html,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,3,4,18
6303,125016561X,THE GREAT ALONE,"A former prisoner of war returns from Vietnam and moves his family to Alaska, where they face tough conditions.",Kristin Hannah,by Kristin Hannah,St. Martin's,0,0,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah-ebook/dp/B06Y5WRS2C?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,4,5,9
6304,316395447,RED ALERT,The fifth book in the NYPD Red series. Detectives Zach Jordan and Kylie MacDonald investigate the death of a documentary filmmaker and an explosion at a charity benefit.,James Patterson and Marshall Karp,by James Patterson and Marshall Karp,"Little, Brown",0,0,https://www.amazon.com/Red-Alert-NYPD-Mystery-ebook/dp/B01GQIY9JW?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,5,2,2
6305,399176624,THE DISAPPEARED,A Wyoming game warden teams up with his daughter to find a missing British businesswoman.,CJ Box,by C.J. Box,Putnam,0,0,https://www.amazon.com/Disappeared-Joe-Pickett-Novel-ebook/dp/B0738KV63H?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,6,1,2
6306,735224307,LITTLE FIRES EVERYWHERE,An artist upends a quiet town outside Cleveland.,Celeste Ng,by Celeste Ng,Penguin Press,0,0,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng-ebook/dp/B01N4VW75U?tag=NYTBSREV-20,https://www.nytimes.com/2017/09/25/books/review/little-fires-everywhere-celeste-ng.html,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,7,9,24
6307,62391941,CAVE OF BONES,Tribal police officers search the Navajo Nation for a missing instructor and investigate a troubled girl’s story of finding human remains.,Anne Hillerman,by Anne Hillerman,Harper,0,0,https://www.amazon.com/Cave-Bones-Leaphorn-Manuelito-Novel-ebook/dp/B071KYZBT5?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,8,0,1
6308,525533222,THE FEMALE PERSUASION,The relationship between a college freshman and a famous feminist reveals the challenges of intergenerational feminism.,Meg Wolitzer,by Meg Wolitzer,Riverhead,0,0,https://www.amazon.com/Female-Persuasion-Book-Club/dp/0525538534?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,9,0,1
6309,425284697,BEFORE WE WERE YOURS,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,Lisa Wingate,by Lisa Wingate,Ballantine,0,0,https://www.amazon.com/Before-We-Were-Yours-Novel/dp/0425284689?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,10,10,28
6310,345548558,SCOURGED,The ninth book in the Iron Druid Chronicles series.,Kevin Hearne,by Kevin Hearne,Del Rey,0,0,https://www.amazon.com/Scourged-Iron-Druid-Chronicles-Book-ebook/dp/B073P9YYNZ?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,11,0,1
6311,1101988843,GOLDEN PREY,"Lucas Davenport, now a U.S. Marshal, pursues a thief who robbed a drug cartel and killed a child in Biloxi, Miss.",John Sandford,by John Sandford,Putnam,0,0,https://www.amazon.com/Golden-Prey-Novel-John-Sandford-ebook/dp/B01JHQPTWQ?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,12,0,6
6312,1101883960,THE RIGHT TIME,"The author Alexandra Winslow, writing under the pseudonym Alexander Green, creates a double life that isolates her.",Danielle Steel,by Danielle Steel,Delacorte,0,0,https://www.amazon.com/Right-Time-Novel-Danielle-Steel-ebook/dp/B01MQSGA26?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,13,0,3
6313,62678442,THE WOMAN IN THE WINDOW,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,AJ Finn,by A.J. Finn,Morrow,0,0,https://www.amazon.com/Woman-Window-Novel-J-Finn/dp/0062678418?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,14,11,14
6314,1501131125,"ALL BY MYSELF, ALONE","On a luxury cruise ship, a wealthy aristocrat is found murdered, and her emerald necklace has disappeared.",Mary Higgins Clark,by Mary Higgins Clark,Simon & Schuster,0,0,https://www.amazon.com/Myself-Alone-Mary-Higgins-Clark-ebook/dp/B01HMXRYWY?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Fiction,2018,16,15,0,4
6405,307742482,KILLERS OF THE FLOWER MOON,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",David Grann,by David Grann,Doubleday,0,0,https://www.amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0385534248?tag=NYTBSREV-20,https://www.nytimes.com/2017/04/28/books/review/killers-of-the-flower-moon-david-grann.html,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,1,0,42
6406,125012381X,FACTFULNESS,A look at our biases and the argument for why the world is in a better state than we might think.,Hans Rosling with Ola Rosling and Anna Rosling Ronnlund,by Hans Rosling with Ola Rosling and Anna Rosling Ronnlund,Flatiron,0,0,https://www.amazon.com/Factfulness-Reasons-World-Things-Better-ebook/dp/B0756J1LLV?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,2,0,1
6407,1501126423,TIGER WOODS,A deeper look at the personal and professional triumphs and disasters of the champion golfer.,Jeff Benedict and Armen Keteyian,by Jeff Benedict and Armen Keteyian,Simon & Schuster,0,0,https://www.amazon.com/Tiger-Woods-Jeff-Benedict/dp/1501126423?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,3,5,2
6408,399590501,EDUCATED,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",Tara Westover,by Tara Westover,Random House,0,0,https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/01/books/review/tara-westover-educated.html,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,4,7,7
6409,1538728753,RUSSIAN ROULETTE,"Details of the 2016 presidential election, with an emphasis on Russia's possible involvement.",Michael Isikoff and David Corn,by Michael Isikoff and David Corn,Twelve,0,0,https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/14/books/review/russian-roulette-michael-isikoff-david-corn.html,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,5,3,4
6410,553380168,A BRIEF HISTORY OF TIME,The British cosmologist reviews efforts to create a unified theory of the universe; first published in 1988.,Stephen Hawking,by Stephen Hawking,Bantam,0,0,http://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168?tag=NYTBSREV-20,https://www.nytimes.com/1988/05/04/books/books-of-the-times-making-the-big-bang-almost-understandable.html,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,6,2,7
6411,62319787,I'LL BE GONE IN THE DARK,"The late true-crime journalist's search for the serial murderer and rapist known as ""the Golden State Killer.""",Michelle McNamara,by Michelle McNamara,Harper,0,0,https://www.amazon.com/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,7,9,6
6412,1538713454,DEAR MADAM PRESIDENT,The director of communications for Hillary Clinton’s 2016 presidential campaign and the Obama White House prescribes a new model of leadership.,Jennifer Palmieri,by Jennifer Palmieri,Grand Central,0,0,https://www.amazon.com/Dear-Madam-President-Letter-Women/dp/1538713454?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/19/books/review/jennifer-palmieri-dear-madam-president.html,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,8,4,2
6413,1501187597,MAKE TROUBLE,"A memoir by the president of Planned Parenthood Federation of America and Planned Parenthood Action Fund, and former labor organizer.",Cecile Richards with Lauren Peterson,by Cecile Richards with Lauren Peterson,Touchstone,0,0,https://www.amazon.com/Make-Trouble-Standing-Speaking-Lead-My/dp/1501187597?tag=NYTBSREV-20,https://www.nytimes.com/2018/04/25/books/review/cecile-richards-make-trouble.html,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,9,0,1
6414,62837877,THIS IS ME,A star of “This Is Us” describes her journey toward self-acceptance.,Chrissy Metz,by Chrissy Metz,Dey St.,0,0,https://www.amazon.com/This-Me-Loving-Person-Today/dp/0062837877?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,10,1,2
6415,1630061026,KILLING THE DEEP STATE,"The conservative commentator describes a secret conspiracy to undermine the Trump presidency. From the author of ""The Obama Nation.""",Jerome R Corsi,by Jerome R. Corsi,Humanix,0,0,https://www.amazon.com/Killing-Deep-State-Fight-President/dp/1630061026?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,11,15,2
6416,1496430417,UNIFIED,Two Republican lawmakers from South Carolina use their relationship as a model for overcoming differences.,Tim Scott and Trey Gowdy,by Tim Scott and Trey Gowdy,Tyndale Momentum,0,0,https://www.amazon.com/Unified-Unlikely-Friendship-Divided-Country/dp/1496430417?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,12,0,1
6417,62569368,SECRET EMPIRES,The author of “Clinton Cash” describes what some politicians might do to enrich themselves while in office.,Peter Schweizer,by Peter Schweizer,Harper,0,0,https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,13,6,3
6418,316259616,THE RECOVERING,Personal stories and tales of famous artists dealing with substance dependence are used to examine the history of addiction and recovery.,Leslie Jamison,by Leslie Jamison,"Little, Brown",0,0,https://www.amazon.com/Recovering-Intoxication-Its-Aftermath/dp/0316259616?tag=NYTBSREV-20,https://www.nytimes.com/2018/04/17/books/review/recovering-leslie-jamison.html,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,14,0,1
6419,393609391,ASTROPHYSICS FOR PEOPLE IN A HURRY,"A straightforward, easy-to-understand introduction to the laws that govern the universe.",Neil deGrasse Tyson,by Neil deGrasse Tyson,Norton,0,0,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?tag=NYTBSREV-20,,4/7/18,4/22/18,Combined Print and E-Book Nonfiction,2018,16,15,13,48
6510,1501171682,I'VE GOT MY EYES ON YOU,A high school guidance counselor tries to uncover the identity of her sister’s murderer.,Mary Higgins Clark,by Mary Higgins Clark,Simon & Schuster,0,0,https://www.amazon.com/Ive-Got-My-Eyes-You-ebook/dp/B074ZWSKZP?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,1,0,1
6511,525538534,THE FEMALE PERSUASION,The relationship between a college freshman and a famous feminist reveals the challenges of intergenerational feminism.,Meg Wolitzer,by Meg Wolitzer,Riverhead,0,0,https://www.amazon.com/Female-Persuasion-Book-Club/dp/0525538534?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,2,0,1
6512,399176624,THE DISAPPEARED,A Wyoming game warden teams up with his daughter to find a missing British businesswoman.,CJ Box,by C.J. Box,Putnam,0,0,https://www.amazon.com/Disappeared-Joe-Pickett-Novel-ebook/dp/B0738KV63H?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,3,1,2
6513,316395447,RED ALERT,The fifth book in the NYPD Red series. Detectives Zach Jordan and Kylie MacDonald investigate the death of a documentary filmmaker and an explosion at a charity benefit.,James Patterson and Marshall Karp,by James Patterson and Marshall Karp,"Little, Brown",0,0,https://www.amazon.com/Red-Alert-NYPD-Mystery-ebook/dp/B01GQIY9JW?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,4,2,2
6514,312577230,THE GREAT ALONE,"A former prisoner of war returns from Vietnam and moves his family to Alaska, where they face tough conditions.",Kristin Hannah,by Kristin Hannah,St. Martin's,0,0,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah-ebook/dp/B06Y5WRS2C?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,5,4,9
6515,735224293,LITTLE FIRES EVERYWHERE,An artist upends a quiet town outside Cleveland.,Celeste Ng,by Celeste Ng,Penguin Press,1,0,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng-ebook/dp/B01N4VW75U?tag=NYTBSREV-20,https://www.nytimes.com/2017/09/25/books/review/little-fires-everywhere-celeste-ng.html,4/7/18,4/22/18,Hardcover Fiction,2018,16,6,6,29
6516,425284689,BEFORE WE WERE YOURS,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,Lisa Wingate,by Lisa Wingate,Ballantine,0,0,https://www.amazon.com/Before-We-Were-Yours-Novel/dp/0425284689?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,7,8,29
6517,1101884096,ACCIDENTAL HEROES,Strangers pull together to avert a disaster involving two flights from New York to San Francisco.,Danielle Steel,by Danielle Steel,Delacorte,0,0,https://www.amazon.com/Accidental-Heroes-Novel-Danielle-Steel-ebook/dp/B0738M9QWZ?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,8,3,3
6518,62678418,THE WOMAN IN THE WINDOW,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,AJ Finn,by A.J. Finn,Morrow,0,0,https://www.amazon.com/Woman-Window-Novel-J-Finn/dp/0062678418?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,9,7,14
6519,62405985,VARINA,"As the Confederacy and her marriage to Jefferson Davis fall apart, a woman flees Richmond with her children.",Charles Frazier,by Charles Frazier,Ecco,0,0,https://www.amazon.com/Varina-Novel-Charles-Frazier/dp/0062405985?tag=NYTBSREV-20,https://www.nytimes.com/2018/04/30/books/review/varina-charles-frazier.html,4/7/18,4/22/18,Hardcover Fiction,2018,16,10,0,1
6520,62391925,CAVE OF BONES,Tribal police officers search the Navajo Nation for a missing instructor and investigate a troubled girl’s story of finding human remains.,Anne Hillerman,by Anne Hillerman,Harper,0,0,https://www.amazon.com/Cave-Bones-Leaphorn-Manuelito-Novel-ebook/dp/B071KYZBT5?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,11,0,1
6521,1616208775,AN AMERICAN MARRIAGE,A newlywed couple's relationship is tested when the husband is sentenced to 12 years in prison.,Tayari Jones,by Tayari Jones,Algonquin,0,0,https://www.amazon.com/American-Marriage-Novel-Oprahs-Selection-ebook/dp/B01NCUXEFR?tag=NYTBSREV-20,https://www.nytimes.com/2018/02/06/books/review/american-marriage-tayari-jones.html,4/7/18,4/22/18,Hardcover Fiction,2018,16,12,12,9
6522,525954341,THE PUNISHMENT SHE DESERVES,Detectives Havers and Lynley investigate the death of a deacon accused of a serious crime in a historic medieval town in England.,Elizabeth George,by Elizabeth George,Viking,0,0,https://www.amazon.com/Punishment-She-Deserves-Lynley-Novel-ebook/dp/B073TKJ5S8?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,13,9,3
6523,1455559520,THE ESCAPE ARTIST,"Nola Brown, a painter and trained soldier, discovers a military secret that traces back to Harry Houdini.",Brad Meltzer,by Brad Meltzer,Grand Central,0,0,https://www.amazon.com/Escape-Artist-Brad-Meltzer/dp/1455559520?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Fiction,2018,16,14,10,5
6524,670026190,A GENTLEMAN IN MOSCOW,A Russian count undergoes 30 years of house arrest.,Amor Towles,by Amor Towles,Viking,0,0,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBSREV-20,https://www.nytimes.com/2016/09/25/books/review/amor-towles-gentleman-in-moscow.html,4/7/18,4/22/18,Hardcover Fiction,2018,16,15,13,57
6615,1538713454,DEAR MADAM PRESIDENT,The director of communications for Hillary Clinton’s 2016 presidential campaign and the Obama White House prescribes a new model of leadership.,Jennifer Palmieri,by Jennifer Palmieri,Grand Central,0,0,https://www.amazon.com/Dear-Madam-President-Letter-Women/dp/1538713454?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/19/books/review/jennifer-palmieri-dear-madam-president.html,4/7/18,4/22/18,Hardcover Nonfiction,2018,16,1,4,2
6616,1538728753,RUSSIAN ROULETTE,"Details of the 2016 presidential election, with an emphasis on Russia's possible involvement.",Michael Isikoff and David Corn,by Michael Isikoff and David Corn,Twelve,0,0,https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/14/books/review/russian-roulette-michael-isikoff-david-corn.html,4/7/18,4/22/18,Hardcover Nonfiction,2018,16,2,1,4
6617,1501126423,TIGER WOODS,A deeper look at the personal and professional triumphs and disasters of the champion golfer.,Jeff Benedict and Armen Keteyian,by Jeff Benedict and Armen Keteyian,Simon & Schuster,0,0,https://www.amazon.com/Tiger-Woods-Jeff-Benedict/dp/1501126423?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Nonfiction,2018,16,3,5,2
6618,1501187597,MAKE TROUBLE,"A memoir by the president of Planned Parenthood Federation of America and Planned Parenthood Action Fund, and former labor organizer.",Cecile Richards with Lauren Peterson,by Cecile Richards with Lauren Peterson,Touchstone,0,0,https://www.amazon.com/Make-Trouble-Standing-Speaking-Lead-My/dp/1501187597?tag=NYTBSREV-20,https://www.nytimes.com/2018/04/25/books/review/cecile-richards-make-trouble.html,4/7/18,4/22/18,Hardcover Nonfiction,2018,16,4,0,1
6619,1250107814,FACTFULNESS,A look at our biases and the argument for why the world is in a better state than we might think.,Hans Rosling with Ola Rosling and Anna Rosling Ronnlund,by Hans Rosling with Ola Rosling and Anna Rosling Ronnlund,Flatiron,0,0,https://www.amazon.com/Factfulness-Reasons-World-Things-Better-ebook/dp/B0756J1LLV?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Nonfiction,2018,16,5,0,1
6620,62319787,I'LL BE GONE IN THE DARK,"The late true-crime journalist's search for the serial murderer and rapist known as ""the Golden State Killer.""",Michelle McNamara,by Michelle McNamara,Harper,0,0,https://www.amazon.com/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Nonfiction,2018,16,6,11,6
6621,393609391,ASTROPHYSICS FOR PEOPLE IN A HURRY,"A straightforward, easy-to-understand introduction to the universe.",Neil deGrasse Tyson,by Neil deGrasse Tyson,Norton,1,0,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?tag=NYTBSREV-20,,4/7/18,4/22/18,Hardcover Nonfiction,2018,16,7,8,49
