,Primary_ISBN_10,Book_Title,Description,Author,Contributor,Publisher,Asterisk,Dagger,Amazon_URL,Review_Link,BestSeller_Date,Published_Date,Book_Category,BestSeller_Year,BestSeller_Week,Rank,Rank_Last_Week,Weeks_on_List
40854,385539304,THE BODY,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.",Bill Bryson,by Bill Bryson,Doubleday,0,0,https://www.amazon.com/Body-Guide-Occupants-Bill-Bryson/dp/0385539304?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/15/books/review/the-body-a-guide-for-occupants-bill-bryson.html,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,10,11,3
40855,1621579883,GUILTY BY REASON OF INSANITY,The conservative commentator contends that liberals have declared a political war against the current president.,David Limbaugh,by David Limbaugh,Regnery,0,0,https://www.amazon.com/Guilty-Reason-Insanity-Democrats-Must/dp/1621579883?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,11,0,1
40856,1250237238,PERMANENT RECORD,A memoir by the former National Security Agency contractor who exposed the government’s mass surveillance program.,Edward Snowden,by Edward Snowden,Metropolitan/Holt,0,0,https://www.amazon.com/Permanent-Record-Edward-Snowden/dp/1250237238?tag=NYTBSREV-20,https://www.nytimes.com/2019/09/13/books/review-permanent-record-edward-snowden-memoir.html,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,12,8,5
40857,1982130857,THE WAY I HEARD IT,The television personality relays stories from his podcast and personal anecdotes.,Mike Rowe,by Mike Rowe,Gallery,0,0,https://www.amazon.com/Way-I-Heard-Mike-Rowe/dp/1982130857?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,13,10,3
40858,1501178415,THE BOOK OF GUTSY WOMEN,Profiles of women from around the world who have blazed trails and challenged the status quo.,Hillary Rodham Clinton and Chelsea Clinton,by Hillary Rodham Clinton and Chelsea Clinton,Simon & Schuster,0,0,https://www.amazon.com/Book-Gutsy-Women-Favorite-Stories-Resilience/dp/1501178415?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,14,0,4
40859,1524763136,BECOMING,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",Michelle Obama,by Michelle Obama,Crown,0,0,https://www.amazon.com/Becoming-Michelle-Obama/dp/1524763136?tag=NYTBSREV-20,https://www.nytimes.com/2018/12/06/books/review/michelle-obama-becoming-memoir.html,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,15,0,49
40950,399593543,BLUE MOON,Jack Reacher gets caught up in a turf war between Ukrainian and Albanian gangs.,Lee Child,by Lee Child,Delacorte,0,0,https://www.amazon.com/Blue-Moon-Jack-Reacher-Novel/dp/0399593543?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Fiction,2019,46,1,0,1
40951,385544189,THE GUARDIANS,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case.",John Grisham,by John Grisham,Doubleday,0,0,https://www.amazon.com/Guardians-Novel-John-Grisham/dp/0385544189?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Fiction,2019,46,2,2,3
40952,316485616,THE NIGHT FIRE,Harry Bosch and Renée Ballard return to take up a case that held the attention of Bosch’s mentor.,Michael Connelly,by Michael Connelly,"Little, Brown",0,0,https://www.amazon.com/Night-Renée-Ballard-Harry-Bosch/dp/0316485616?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Fiction,2019,46,3,1,2
40953,735219095,WHERE THE CRAWDADS SING,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",Delia Owens,by Delia Owens,Putnam,0,0,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Fiction,2019,46,4,3,61
